Date : 2025-07-09 03:43:54
Directory : /Users/matty_btm/Desktop/tink-io-platform
Total : 71 files,  5825 codes, 246 comments, 700 blanks, all 6771 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         37 |      3,042 |         68 |        266 |      3,376 |
| TypeScript         |          9 |      1,630 |        120 |        262 |      2,012 |
| HTML               |          3 |        780 |         30 |        115 |        925 |
| PostCSS            |          2 |        198 |         17 |         35 |        250 |
| JavaScript         |         10 |         85 |         11 |         14 |        110 |
| JSON               |          6 |         64 |          0 |          4 |         68 |
| JSON with Comments |          1 |         19 |          0 |          0 |         19 |
| Markdown           |          3 |          7 |          0 |          4 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         71 |      5,825 |        246 |        700 |      6,771 |
| . (Files)                                                                                            |          4 |        -64 |          0 |         -8 |        -72 |
| frontend                                                                                             |         64 |      5,564 |        225 |        661 |      6,450 |
| frontend (Files)                                                                                     |          7 |        222 |         13 |         23 |        258 |
| frontend/api                                                                                         |          1 |          0 |          0 |          1 |          1 |
| frontend/api/analyze-project                                                                         |          1 |          0 |          0 |          1 |          1 |
| frontend/app                                                                                         |         23 |      5,702 |        236 |        624 |      6,562 |
| frontend/app (Files)                                                                                 |          8 |        926 |         34 |        131 |      1,091 |
| frontend/app/api                                                                                     |          3 |        716 |         44 |        101 |        861 |
| frontend/app/api/analyze-project                                                                     |          1 |        533 |         31 |         75 |        639 |
| frontend/app/api/create-subscription                                                                 |          1 |        104 |          6 |         17 |        127 |
| frontend/app/api/user                                                                                |          1 |         79 |          7 |          9 |         95 |
| frontend/app/api/user/projects                                                                       |          1 |         79 |          7 |          9 |         95 |
| frontend/app/blog                                                                                    |          3 |      1,406 |         62 |        145 |      1,613 |
| frontend/app/blog (Files)                                                                            |          1 |        344 |         12 |         37 |        393 |
| frontend/app/blog/[slug]                                                                             |          1 |        420 |         20 |         52 |        492 |
| frontend/app/blog/admin                                                                              |          1 |        642 |         30 |         56 |        728 |
| frontend/app/create                                                                                  |          1 |        517 |         30 |         59 |        606 |
| frontend/app/dashboard                                                                               |          1 |        336 |         13 |         18 |        367 |
| frontend/app/press                                                                                   |          1 |        305 |         10 |         23 |        338 |
| frontend/app/pricing                                                                                 |          1 |        362 |         10 |         28 |        400 |
| frontend/app/privacy                                                                                 |          1 |        250 |          5 |         24 |        279 |
| frontend/app/sign-in                                                                                 |          1 |         11 |          0 |          2 |         13 |
| frontend/app/sign-in/[[...sign-in]]                                                                  |          1 |         11 |          0 |          2 |         13 |
| frontend/app/sign-up                                                                                 |          1 |         11 |          0 |          2 |         13 |
| frontend/app/sign-up/[[...sign-up]]                                                                  |          1 |         11 |          0 |          2 |         13 |
| frontend/app/story                                                                                   |          1 |        350 |         14 |         37 |        401 |
| frontend/app/terms                                                                                   |          1 |        512 |         14 |         54 |        580 |
| frontend/components                                                                                  |          2 |        214 |         11 |         23 |        248 |
| frontend/frontend                                                                                    |          1 |          0 |          0 |          1 |          1 |
| frontend/public                                                                                      |          1 |         20 |          0 |          1 |         21 |
| frontend/src                                                                                         |         29 |       -594 |        -35 |        -12 |       -641 |
| frontend/src (Files)                                                                                 |          1 |         -8 |          0 |         -2 |        -10 |
| frontend/src/app                                                                                     |         14 |     -1,030 |        -44 |        -83 |     -1,157 |
| frontend/src/app (Files)                                                                             |          3 |        -64 |         -4 |         -8 |        -76 |
| frontend/src/app/api                                                                                 |          4 |        392 |         24 |         69 |        485 |
| frontend/src/app/api/analyze-project                                                                 |          1 |         -7 |         -3 |         -2 |        -12 |
| frontend/src/app/api/stripe                                                                          |          3 |        399 |         27 |         71 |        497 |
| frontend/src/app/api/stripe/create-credit-session                                                    |          1 |         50 |          0 |          5 |         55 |
| frontend/src/app/api/stripe/create-subscription                                                      |          1 |        110 |         11 |         16 |        137 |
| frontend/src/app/api/stripe/webhooks                                                                 |          1 |        239 |         16 |         50 |        305 |
| frontend/src/app/create                                                                              |          1 |       -505 |        -43 |        -57 |       -605 |
